,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Configurations,Project Area
86,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,"G Square Prestige is a ready to construct plot project located in Kovalam with a Picturistic view . This gated community offers a wide variety of residential and commercial plots in a area of 12.5 Acres close to Muthukadu Backwaters and comes with features like blacktop internal roads, street lights, complete with clear titles.Imagine living amongst plenty of water bodies. The ripples of the lakes, the cool and brisk breeze, the call of birds flying through the air…That’s your lifestyle at G Square Prestige. with 184 residential and 14 commercial plots spread across 12.75 acres, this is one of the biggest plot communities. with boating & surfing opportunities nearby and the kovalam beach in 3 minutes, your adventures here are endless. G Square Prestige scores high when it comes to connectivity as well, Located 12 minutes from sholinganallur and just 6 minutes from Siruseri, you don’t have to worrry about accessibility here.","['https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/_p/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/large/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/0788fa21750330b5abd03ae53217a553/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/3c443c5e6097308fd41c7b9ad85d5f02/v0/_p.jpeg']",Residential Plots,12.5 Acres
87,G Square Symphony,"Mevalurkuppam, Sriperumbudur, Chennai west, Chennai",Ready to Move,2.25 K/sq.ft,1000.00 sq.ft. - 1200.00 sq.ft.,150 units,,"Welcome to G Square Symphony, your search for the perfect residential plot ends here. Perfectly located at Irungattukottai in Sriperumbudur, G Square Symphony villa plots are conveniently located close to industrial establishments. And with the availability of prime commercial real estate, you can also build your business, closer to home. After all, why should your reality be far away from your dream? Your best chance to make your dream a reality is here. Embrace it now.","['https://is1-3.housingcdn.com/4f2250e8/cffb23fcc1a3adcb40972b2ec643e89e/v0/_p/g_square_symphony-sriperumbudur-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/cffb23fcc1a3adcb40972b2ec643e89e/v0/large/g_square_symphony-sriperumbudur-chennai-g_square_housing.jpeg']",Residential Plots,13.7 Acres
88,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
89,G Square Symphony,"Mevalurkuppam, Sriperumbudur, Chennai west, Chennai",Ready to Move,2.25 K/sq.ft,1000.00 sq.ft. - 1200.00 sq.ft.,150 units,,"Welcome to G Square Symphony, your search for the perfect residential plot ends here. Perfectly located at Irungattukottai in Sriperumbudur, G Square Symphony villa plots are conveniently located close to industrial establishments. And with the availability of prime commercial real estate, you can also build your business, closer to home. After all, why should your reality be far away from your dream? Your best chance to make your dream a reality is here. Embrace it now.","['https://is1-3.housingcdn.com/4f2250e8/cffb23fcc1a3adcb40972b2ec643e89e/v0/_p/g_square_symphony-sriperumbudur-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/cffb23fcc1a3adcb40972b2ec643e89e/v0/large/g_square_symphony-sriperumbudur-chennai-g_square_housing.jpeg']",Residential Plots,13.7 Acres
90,G Square Symphony,"Mevalurkuppam, Sriperumbudur, Chennai west, Chennai",Ready to Move,2.25 K/sq.ft,1000.00 sq.ft. - 1200.00 sq.ft.,150 units,,"Welcome to G Square Symphony, your search for the perfect residential plot ends here. Perfectly located at Irungattukottai in Sriperumbudur, G Square Symphony villa plots are conveniently located close to industrial establishments. And with the availability of prime commercial real estate, you can also build your business, closer to home. After all, why should your reality be far away from your dream? Your best chance to make your dream a reality is here. Embrace it now.","['https://is1-3.housingcdn.com/4f2250e8/cffb23fcc1a3adcb40972b2ec643e89e/v0/_p/g_square_symphony-sriperumbudur-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/cffb23fcc1a3adcb40972b2ec643e89e/v0/large/g_square_symphony-sriperumbudur-chennai-g_square_housing.jpeg']",Residential Plots,13.7 Acres
91,Accord Cosmo City,"Mevalur Kuppam, Off Poonamallee, Padur, Chennai west, Chennai",Ready to Move,1.20 K/sq.ft,1200.00 sq.ft. - 2400.00 sq.ft.,350 units,"Aug, 2012","Mevalurkuppam is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/69d6b84f62c0f24ce263ecc7a9040f85/v0/_p/accord_cosmo_city-thandal-chennai-accord_housing.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/69d6b84f62c0f24ce263ecc7a9040f85/v0/large/accord_cosmo_city-thandal-chennai-accord_housing.jpeg', 'https://is1-3.housingcdn.com/012c1500/5f5cc7907783f89291509189563ab734/v0/_p/accord_cosmo_city-thandal-chennai-accord_housing.jpeg', 'https://is1-3.housingcdn.com/012c1500/b4a4c94615be4536e839bdcb84aa9c94/v0/_p/accord_cosmo_city-thandal-chennai-accord_housing.jpeg']",Residential Plots,36 Acres
92,Arun Excello Manjari,"Mevalurkuppam, Chennai west, Chennai",Ready to Move,2.72 K/sq.ft,595.00 sq.ft. - 635.00 sq.ft.,4 Buildings - 210 units,"Aug, 2015","Arun Excello Manjari is a project by Arun Excello Homes Pvt Ltd in Chennai. It is a Ready to Move project. Arun Excello Manjari offers some of the most conveniently designed Apartment. Located in Mevalurkuppam, it is a residential project. The project is spread over 2 Acres . It has 210 units. There are 4 buildings in this project. Arun Excello Manjari offers some of the most exclusive 2 BHK. As per the area plan, units are in the size range of 595.0 - 635.0 sq.ft.. Launched in August 2015, Arun Excello Manjari is slated for possession in Sep, 2018. The address of Arun Excello Manjari is Mevalurkuppam.Arun Excello Manjari ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cycling & Jogging Track. There is 24x7 Security. Some other provisions include access to Landscaped Garden.All major banks such as HDFC, Axis Bank, Citibank, L&T Housing Finance, PNB Housing Finance have approved home loans for Arun Excello Manjari.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Arun Excello Manjari is TN/01/Building/0095/2017.Established in 1990, Arun Excello Homes Pvt Ltd is a renowned developer firm. Till date, Arun Excello Homes Pvt Ltd has developed 61 projects with a focus on healthy and sustainable lifestyle.Mevalurkuppam is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/a4361f3c69dd3e81bfd8d3bcdda6db2d/v7/_p/arun_excello_manjari-mevalurkuppam-chennai-arun_excello_homes_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/a4361f3c69dd3e81bfd8d3bcdda6db2d/v7/large/arun_excello_manjari-mevalurkuppam-chennai-arun_excello_homes_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/91aba65c/eba787cc2f507984cf2ab1b7c7fa7371/v0/_p.jpeg', 'https://is1-3.housingcdn.com/91aba65c/9d19355fec33865a542e9d2cb73804f9/v0/_p.jpeg']",2 BHK Apartment,2 Acres
93,Arun Excello Manjari,"Mevalurkuppam, Chennai west, Chennai",Ready to Move,2.72 K/sq.ft,595.00 sq.ft. - 635.00 sq.ft.,4 Buildings - 210 units,"Aug, 2015","Arun Excello Manjari is a project by Arun Excello Homes Pvt Ltd in Chennai. It is a Ready to Move project. Arun Excello Manjari offers some of the most conveniently designed Apartment. Located in Mevalurkuppam, it is a residential project. The project is spread over 2 Acres . It has 210 units. There are 4 buildings in this project. Arun Excello Manjari offers some of the most exclusive 2 BHK. As per the area plan, units are in the size range of 595.0 - 635.0 sq.ft.. Launched in August 2015, Arun Excello Manjari is slated for possession in Sep, 2018. The address of Arun Excello Manjari is Mevalurkuppam.Arun Excello Manjari ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cycling & Jogging Track. There is 24x7 Security. Some other provisions include access to Landscaped Garden.All major banks such as HDFC, Axis Bank, Citibank, L&T Housing Finance, PNB Housing Finance have approved home loans for Arun Excello Manjari.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Arun Excello Manjari is TN/01/Building/0095/2017.Established in 1990, Arun Excello Homes Pvt Ltd is a renowned developer firm. Till date, Arun Excello Homes Pvt Ltd has developed 61 projects with a focus on healthy and sustainable lifestyle.Mevalurkuppam is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/a4361f3c69dd3e81bfd8d3bcdda6db2d/v7/_p/arun_excello_manjari-mevalurkuppam-chennai-arun_excello_homes_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/a4361f3c69dd3e81bfd8d3bcdda6db2d/v7/large/arun_excello_manjari-mevalurkuppam-chennai-arun_excello_homes_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/91aba65c/eba787cc2f507984cf2ab1b7c7fa7371/v0/_p.jpeg', 'https://is1-3.housingcdn.com/91aba65c/9d19355fec33865a542e9d2cb73804f9/v0/_p.jpeg']",2 BHK Apartment,2 Acres
94,Navins Hanging Gardens,"142, Arcot Rd, Valasaravakkam, Chennai west, Chennai","Mar, 2024",8.21 K/sq.ft,1139.00 sq.ft. - 1660.00 sq.ft.,1 Building - 107 units,"Sep, 2021","Chennai’s next big wonder, Navin’s Hanging Gardens is inspired from The Hanging Gardens of Babylon with first-of-its-kind terrace gardens. This iconic project is located right on Arcot Road, amidst the posh embrace of Chennai's Tinsel Town, Valasaravakkam. Luxurious 2 & 3 BHK homes let you experience the magic of nature blended into your homes with the masterful craftmanship of Navin's.","['https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/_p/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/large/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/0ea57c9567e9d77b8d5fa7583854424e/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1bcd647487378996441a92ef6f7bb82c/v0/_p.jpeg']","2, 3 BHK Apartments",0.89 Acres
95,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
96,Prince Highlands,"Old No. 1/350, Mount Poonamallee High Road, Iyyapanthangal, Chennai west, Chennai",Ready to Move,Price on request,1645.00 sq.ft. - 1790.00 sq.ft.,6 Buildings - 576 units,,"Prince Highlands, which is a mark of sophistication, provides all modern  facilities. The quality of raw material used in  construction of this project matches the best of international standards. The specifications have been designed to be durable which provides the apartments a sturdy look. The  elegance and style of the construction is simply a class apart. The apartment is designed for you  to escape to your own world. The rooms are spacious and the large windows provide plenty of  natural air and light. The rooms are also quite large and have been  aesthetically designed.","['https://is1-3.housingcdn.com/4f2250e8/3e6c679968b913362478280caca7b5a9/v0/_p/prince_highlands-porur-chennai-prince_foundations_ltd.png', 'https://is1-3.housingcdn.com/4f2250e8/3e6c679968b913362478280caca7b5a9/v0/large/prince_highlands-porur-chennai-prince_foundations_ltd.png', 'https://img.youtube.com/vi/vkM18V1Skkw/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/c5ba15a1a000c50da7b6a9b352945555/v0/_p.jpg']",3 BHK Apartment,6 Acres (75% open)
97,Navins Hanging Gardens,"142, Arcot Rd, Valasaravakkam, Chennai west, Chennai","Mar, 2024",8.21 K/sq.ft,1139.00 sq.ft. - 1660.00 sq.ft.,1 Building - 107 units,"Sep, 2021","Chennai’s next big wonder, Navin’s Hanging Gardens is inspired from The Hanging Gardens of Babylon with first-of-its-kind terrace gardens. This iconic project is located right on Arcot Road, amidst the posh embrace of Chennai's Tinsel Town, Valasaravakkam. Luxurious 2 & 3 BHK homes let you experience the magic of nature blended into your homes with the masterful craftmanship of Navin's.","['https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/_p/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0bb47dbcbda9ce20fcae271d89d8be56/v0/large/navins_hanging_gardens-valasaravakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/0ea57c9567e9d77b8d5fa7583854424e/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1bcd647487378996441a92ef6f7bb82c/v0/_p.jpeg']","2, 3 BHK Apartments",0.89 Acres
98,Green The Palms,"Valasaravakkam, Chennai west, Chennai","Mar, 2023",8.00 K/sq.ft,1248.00 sq.ft. - 1309.00 sq.ft.,1 Building - 6 units,"Jan, 2022","Chennai's residential project, Green The Palms is offering property for sale. Check out some Apartment. Available configurations include 3 BHK formats in Valasaravakkam. It is a Under Construction project by Green Leaves Estates. As per the area plan, units are in the size range of 1248.0 - 1309.0 sq.ft.. Green The Palms was launched in February 2022 and possession date is Mar, 2023. There are 6 units in Green The Palms. There is 1 building. Green The Palms is located in Valasaravakkam.There are multiple amenities for residents at Green The Palms which includes RO Water System, Power Backup. The property has Fire Sprinklers. There is 24x7 Security. Other provisions include access to Water Storage. There is provision for Closed Car Parking. Own a home in Green The Palms today!.Valasaravakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/b8f9ceb015d6a09bdc2d8b20af35a85f/v0/_p/green_the_palms-valasaravakkam-chennai-green_leaves_estates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b8f9ceb015d6a09bdc2d8b20af35a85f/v0/large/green_the_palms-valasaravakkam-chennai-green_leaves_estates.jpeg', 'https://is1-2.housingcdn.com/012c1500/930a9905e1b56767312771e5cf6ba27a/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/ba298a98a24a1034634084cc9dc934bf/v0/_p.jpeg']",3 BHK Apartment,
99,Sindur Pushpavanam,"Valasaravakkam, Arcot Road-Valasaravakkam, Chennai","Jan, 2020",9.00 K/sq.ft,1548.00 sq.ft. - 1591.00 sq.ft.,1 Building - 48 units,"Mar, 2018","Check out this residential project for sale by Maruthi Builder in Valasaravakkam, Chennai. Sindur Pushpavanam offers Apartment as property type. It is currently Ready to Move. Available configurations include 3 BHK. As per the area plan, units are in the size range of 1548.0 - 1591.0 sq.ft.. Sindur Pushpavanam was launched in March 2018. Sindur Pushpavanam possession is Jan, 2020. Altogether, there are 48 units available. There is 1 building in this property. The address of Sindur Pushpavanam is Valasaravakkam.Other facilities include Library, provisions in the project. Kids can use the Children's Play Area, nearby apart from Swimming Pool. Come home to Sindur Pushpavanam.Sindur Pushpavanam is approved by the state regulatory authority and the RERA ID is TN/02/Building/0107/2018.Maruthi Builder is a renowned developer firm.Valasaravakkam is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/105796c4e406932d49abf4ceb6e2dc44/v0/_p/sindur_pushpavanam-valasaravakkam-chennai-maruthi_builder.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/105796c4e406932d49abf4ceb6e2dc44/v0/large/sindur_pushpavanam-valasaravakkam-chennai-maruthi_builder.jpeg', 'https://is1-2.housingcdn.com/012c1500/00ab74fe6e4f903bce713fd765a55303/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/069c9b9eab3886e19bed294bc7f983a0/v0/_p.jpeg']",3 BHK Apartment,
100,Vencer Palatine,"S.Nos. 449/1B7A, 1B7B And 2A, Valasaravakkam, Chennai west, Chennai","Sep, 2023",7.50 K/sq.ft,1095.00 sq.ft. - 1714.00 sq.ft.,1 Building - 102 units,,"Vencer Palatine is a residential project in Valasaravakkam, Chennai. Vencer Palatine offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 1095.0 - 1714.0 sq.ft.. The property is Under Construction. There is 1 building for sale. Vencer Palatine is located in S.Nos. 449/1B7A, 1B7B And 2A, Valasaravakkam. The project is developed by Vencer Projects. There are 102 units for sale.Vencer Palatine is equipped with various resident-centric amenities that includes Gymnasium, RO Water System, Power Backup. Residents can make use of Internet / Wi-Fi, provisions in the project. There is 24x7 Security. It is a Gated Community. Enjoy a class-apart lifestyle at Vencer Palatine.This project meets all mandates as required by the state authority. RERA ID of Vencer Palatine is TN/29/Building/0044/2021.Located close to prominent suburbs of Chennai, the area of Valasaravakkam has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/0d54703fbe8ca44102fd3f9d27e8f191/v0/_p/vencer_palatine-valasaravakkam-chennai-vencer_projects.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0d54703fbe8ca44102fd3f9d27e8f191/v0/large/vencer_palatine-valasaravakkam-chennai-vencer_projects.jpeg', 'https://is1-3.housingcdn.com/012c1500/27114bf90c202b71b66c71ba33afe4a7/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/578bc45aa52204230c2b41927e707405/v0/_p.jpeg']","2, 3 BHK Apartments",
101,RWD Grand Corridor,"Poonamallee High Road, Adjacent to KVN Kalyana Mandapam, Chennai west, Chennai","Dec, 2022",6.00 K/sq.ft,1061.00 sq.ft. - 1554.00 sq.ft.,3 Buildings - 356 units,"Feb, 2019","Looking for Apartment in Vanagaram , Chennai?. RWD Grand Corridor is a project by Ramky Wavoo Developers Pvt. Ltd.. The project is offering 2 BHK, 3 BHK. It is set in 3.82 Acres . RWD Grand Corridor is a Under Construction residential project. There are 356 units. There are 3 buildings in this project. As per the area plan, units are in the size range of 1061.0 - 1554.0 sq.ft.. RWD Grand Corridor is located in Poonamallee High Road, Adjacent to KVN Kalyana Mandapam. RWD Grand Corridor was launched in March 2019.RWD Grand Corridor offers a host of facilities for residents. This includes Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. These amenities in RWD Grand Corridor are those that every homebuyer aspires for!.For home loans, interested buyers can seek financing from major banks like LIC Housing Finance, HDFC.RERA ID is TN/02/Building/037/2019.RWD Grand Corridor is RERA-compliant and all necessary approvals are in place.Ramky Wavoo Developers Pvt. Ltd. is a reputed building firm with 13 projects since its inception in 2000.Vanagaram is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/1cdb1638b178bb3c1d049f2135565c1c/v0/_p/rwd_grand_corridor-vanagaram_1-chennai-ramky_wavoo_developers_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/1cdb1638b178bb3c1d049f2135565c1c/v0/large/rwd_grand_corridor-vanagaram_1-chennai-ramky_wavoo_developers_pvt_ltd.jpg', 'https://img.youtube.com/vi/EKuLpEml1wg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/cedeed46b5513cee7693619bdabe93f0/v0/_p.jpg']","2, 3 BHK Apartments",3.82 Acres
102,TVS Emerald Peninsula,"No. 8 Kavery Street End, Ramakrishna Nagar, Chennai south, Chennai","Jul, 2025",7.03 K/sq.ft,1124.00 sq.ft. - 1795.00 sq.ft.,10 Buildings - 392 units,,"Residential project, TVS Peninsula in Chennai is offering units for sale in Manapakkam. Check out some Apartment that suit your lifestyle and liking. Possession date of TVS Peninsula is Jul, 2025. The property offers 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1124.0 - 1795.0 sq.ft.. The project by Emerald Haven Realty Limited is set in 6 Acres . It has 392 units. There are 10 buildings in this project. Contact for further details. TVS Peninsula is located in No. 8 Kavery Street End, Ramakrishna Nagar.In terms of facilities, TVS Peninsula is loaded with multiple offerings such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. It is a Gated Community. Immerse yourself in a world of sports with provisions for Tennis Court, Skating Rink, Basketball Court, Cycling & Jogging Track. There is 24x7 Security. There is provision for Closed Car Parking.TVS Peninsula follows all rules as prescribed by the state RERA. All details are furnished on the RERA portal as well.ID is TN/29/Building/0462/2020, TN/29/Building/0032/2021.Emerald Haven Realty Limited is a very well-known developer-firm in this real estate market. The company started its operations in 2012 and has went on to build 14 projects so far. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Chennai are close by to Manapakkam and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/df1ed5807dc3adb3966d790da240864d/v0/_p/tvs_emerald_peninsula-manapakkam-chennai-emerald_haven_realty_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/df1ed5807dc3adb3966d790da240864d/v0/large/tvs_emerald_peninsula-manapakkam-chennai-emerald_haven_realty_limited.jpeg', 'https://img.youtube.com/vi/2FpKnC2dlU4/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/143877c7ad17c57ea8937fc1edc20f6f/v0/_p.jpeg']","2, 3 BHK Apartments",6 Acres (72% open)
103,Risington,"Saligramam, Chennai south, Chennai","Dec, 2022",8.00 K/sq.ft,1105.00 sq.ft. - 1447.00 sq.ft.,1 Building - 7 units,,"Looking for Apartment in Vadapalani, Chennai?. Traventure Risington is a project by Traventure Homes Pvt Ltd. The project is offering 2 BHK, 3 BHK. It is set in 0.08 Acres . Traventure Risington is a Under Construction residential project. There are 7 units. There is 1 building in this project. As per the area plan, units are in the size range of 1105-1437 sq.ft.. Traventure Risington is located in Saligramam. Traventure Risington offers a host of facilities for residents. There is provision for Closed Car Parking. These amenities in Traventure Risington are those that every homebuyer aspires for!.","['https://is1-3.housingcdn.com/4f2250e8/fc639c008ca85773a2c1479a7ac51392/v0/_p/risington-vadapalani-chennai-traventure_homes_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/fc639c008ca85773a2c1479a7ac51392/v0/large/risington-vadapalani-chennai-traventure_homes_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/d69a685a53a9c20e0e8922c421ff6c11/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/36180addb74841e088800738ebedb01d/v0/_p.jpeg']","2, 3 BHK Apartments",0.08 Acres
104,Brigade Xanadu Cluster III Celeste,"Nolambur Village, No.1, Chanakyan Road, Mogappair, Chennai west, Chennai","Dec, 2025",7.21 K/sq.ft,1062.00 sq.ft. - 1878.00 sq.ft.,5 Buildings,,"Brigade Enterprises Ltd has lauched Brigade Xanadu Cluster III Celeste in Chinna Nolambur, Chennai. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1062.0 - 1878.0 sq.ft.. Overall, there are 5 buildings. The possession date of Brigade Xanadu Cluster III Celeste is Dec, 2025. The address of Brigade Xanadu Cluster III Celeste is Nolambur Village, No.1, Chanakyan Road, Mogappair.Ample provision for sports avenues such as Squash Court. Own a home in Brigade Xanadu Cluster III Celeste today!.This is a RERA registered project with RERA ID TN/29/Building/0018/2021 and fulfils all conditions placed by the state regulatory body.This project has been developed by Brigade Enterprises Ltd. Brigade Enterprises Ltd is a reputed developer firm with experience in developing livable spaces for homebuyers since 1986.Mogappair is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/a626f226efb6f8e8448fc4881928ebb9/v0/_p/brigade_xanadu_cluster_iii_celeste-chinna_nolambur-chennai-brigade_enterprises_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/a626f226efb6f8e8448fc4881928ebb9/v0/large/brigade_xanadu_cluster_iii_celeste-chinna_nolambur-chennai-brigade_enterprises_ltd.jpeg', 'https://img.youtube.com/vi/K6p3QhT1-SM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/030e198a43ba6a8eb20fd76e16a19708/v0/_p.jpeg']","2, 3 BHK Apartments",33 Acres (65% open)
105,Amaze,"Porur, Chennai south, Chennai","Dec, 2023",5.75 K/sq.ft,923.00 sq.ft. - 1287.00 sq.ft.,132 units,,"Chennai's residential project, Amaze is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 2.5 BHK, 3 BHK formats in Porur. It is a Under Construction project by Urban Tree Infrastructures. As per the area plan, units are in the size range of 923.0 - 1287.0 sq.ft.. Amaze is located in Porur.There are multiple amenities for residents at Amaze which includes Power Backup. The property has Fire Sprinklers. There is 24x7 Security. Own a home in Amaze today!.Attractive offers are also going on, contact for more information on deals like Free modular kitchen.Amaze is a RERA registered project with ID TN/29/Building/0320/2021.Porur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/4b1eb53d2156d2c775ae31f12f13fe10/v0/_p/amaze-porur-chennai-urban_tree_infrastructures.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/4b1eb53d2156d2c775ae31f12f13fe10/v0/large/amaze-porur-chennai-urban_tree_infrastructures.jpeg', 'https://is1-2.housingcdn.com/012c1500/00c1ad310a579a8e9c38c542c454f693/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/09ec44ef349b504b12042f1fdb168be6/v0/_p.jpeg']","2, 2.5, 3 BHK Apartments",1.45 Acres
