,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images
47,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
48,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
49,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
50,Shriram Shriram Sadhana,"Gokula Extension, Mathikere, North Bangalore, Bangalore",3 BHK Apartment,Ready to Move,10.00 K/sq.ft,1100.00 sq.ft.,,1 Building,"Dec, 2007","Nestled in the locality of Mathikere in Bangalore, Shriram Sadhana by Shriram Properties is an exceptional residential property in its price range. Its thoughtfully designed 2 BHK and 3 BHK apartments truly highlight a sense of class and creativity. Delve into a spacious and comfortable lifestyle at Shriram Sadhana, as it offers a carpet area starting from 1,100 square foot onwards. World-class amenities such as a swimming pool, gymnasium, indoor games, children's play area, basketball court, library and a clubhouse are bound to give you a comfortable lifestyle. Its prime location comes with benefits such as excellent connectivity as well as the availability of a developed social infrastructure including schools, hospitals and banks.","['https://is1-3.housingcdn.com/012c1500/0fc75e59f5b59bc5a5858f5ae5e041cb/v0/_p/shriram_shriram_sadhana-mathikere-bengaluru-shriram_properties_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/0fc75e59f5b59bc5a5858f5ae5e041cb/v0/large/shriram_shriram_sadhana-mathikere-bengaluru-shriram_properties_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/0fc75e59f5b59bc5a5858f5ae5e041cb/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/2397b1aac2bfa959e9122e6233c059c8/v0/_p.jpeg']"
51,Uthrankar Krishna Kruthi CR Pride,"Sanjay Nagar Main Road, Near Nagashetty Halli Bus Stop, Opp. Site to I - Mart, North Bangalore, Bangalore","2, 3 BHK Apartments","Jul, 2025",6.50 K/sq.ft,846.00 sq.ft. - 1316.00 sq.ft.,,1 Building - 19 units,"Oct, 2018","Uthrankar Constructions offers for sale their latest project Krishna Kruthi CR Pride at Sanjay Nagar in Bangalore. The prestigious project near BMC Public School is filled with excellent amenities that will bring joy and delight to all the residents. The design by well-known architects has optimized the building for maximum sunlight and fresh air. The latest architectural style makes it an unparalleled place to live in. You deserve to live in regal style and utmost luxury. That is made possible in this project through careful construction with the choicest raw materials. Experts workmen have done all that is possible to make it superior in every possible way. Enjoy the independence of your own home or buy it as an investment. It is the most suitable project for residence, and your family will feel great happiness.  The site deserves a visit from you to inspect its features first hand. Book your site visit now, and we shall be happy to help.","['https://is1-2.housingcdn.com/4f2250e8/a95081e0facdd97738e4e092efb7bccd/v0/_p/uthrankar_krishna_kruthi_cr_pride-rmv_extension_stage_2-bengaluru-uthrankar_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/a95081e0facdd97738e4e092efb7bccd/v0/large/uthrankar_krishna_kruthi_cr_pride-rmv_extension_stage_2-bengaluru-uthrankar_constructions.jpeg', 'https://is1-3.housingcdn.com/012c1500/3d311f92f54f3dd241a2f2250138d4de/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/64219cd364799acd4db4452dc5bcca2c/v0/_p.jpeg']"
52,Vario Homes,"Karle Town Centre, 100 Feet Kempapura Main Road Adjacent To Nagavara Lake, Nagawara, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2024",13.44 K/sq.ft,796.00 sq.ft. - 1163.00 sq.ft.,3 Acres,2 Buildings - 400 units,"Sep, 2019","Karle Infra has launched Vario, a residential housing project located in Bangalore at Nagawara. Vario is in close proximity to many reputed schools and hospitals. Bangalore is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/48ad64bed551a94a5cbd7224c92c37f4/v0/_p/vario_homes-nagavara-bengaluru-karle_homes_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/48ad64bed551a94a5cbd7224c92c37f4/v0/large/vario_homes-nagavara-bengaluru-karle_homes_pvt_ltd.jpeg', 'https://img.youtube.com/vi/ELM5LJ60aHk/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/11479e651dc3f4e1f5382218ab1fdd51/v0/_p.jpeg']"
53,Luxuria,"Near World Trade Center, Malleshwaram, Central Bangalore, Bangalore","3, 4 BHK Duplex, Penthouse, Apartments",Ready to Move in,12.41 K/sq.ft,2215.00 sq.ft. - 4465.00 sq.ft.,4 Acres (70% open),2 Buildings - 197 units,"Apr, 2011","Luxuria is a residential project in Malleswaram, Bangalore. It is set in an area of 4 Acres . Luxuria offers Duplex. Available configurations include 3 BHK, 4 BHK. Duplex, as per the area plan, are in the size range of 2215.0 - 4465.0 sq.ft.. The property is Ready to Move in. There are 2 buildings for sale. The project was launched in May 2011 and possession date of Luxuria is Aug, 2015. Luxuria is located in Near World Trade Center, Malleshwaram. The project is developed by Salarpuria Sattva. There are 197 units for sale.Luxuria is equipped with various resident-centric amenities that includes Gymnasium, Power Backup. For families with kids, there is Children's Play Area, School, nearby apart from Swimming Pool. Cycling & Jogging Track - these are some avenues for sports lovers. Residents can make use of ATM, provisions in the project. Enjoy a class-apart lifestyle at Luxuria.Interested buyers can avail of limited time offers such as Pay 5% now & Move-in today. Bank finance is approved by major financial institutions like HDFC.Located close to prominent suburbs of Bangalore, the area of Malleswaram has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/ef6c4b06dd5f5d6d06ad54f962534b11/v0/_p/luxuria-malleswaram-bengaluru-salarpuria_sattva.jpg', 'https://is1-3.housingcdn.com/4f2250e8/ef6c4b06dd5f5d6d06ad54f962534b11/v0/large/luxuria-malleswaram-bengaluru-salarpuria_sattva.jpg', 'https://img.youtube.com/vi/HqySZ563LSQ/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/296cb7014537c342d721488c592ea44b/v7/_p.jpg']"
54,Phoenix One Bangalore West,"Rajaji Nagar, Central Bangalore, Bangalore","2, 3, 4, 4.5 BHK Apartment, Duplexes","Mar, 2023",14.15 K/sq.ft,1761.00 sq.ft. - 4632.00 sq.ft.,17 Acres,5 Buildings - 735 units,"Oct, 2012","With contemporary style, One Bangalore West is a unique project that carries comfort and luxury together. The project is an outcome of professionalism presented by architects and designers. Having state-of-art design and, the project is designed for IGBC Gold Certificate making it worth going for. Surrounded by pleasant environment, One Bangalore West is the project that prides its Developers and residents. Every apartment is tastefully designed with enough space. The project is on the verge of becoming the center of attraction of all home seekers since it serves fresh air, ample light and cool atmosphere that keeps life refreshed and healthy forever.","['https://is1-3.housingcdn.com/4f2250e8/533b86f885990ed2ee33ddc30cb6e347/v0/_p/phoenix_one_bangalore_west-rajajinagar-bengaluru-the_phoenix_mills_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/533b86f885990ed2ee33ddc30cb6e347/v0/large/phoenix_one_bangalore_west-rajajinagar-bengaluru-the_phoenix_mills_ltd.jpg', 'https://img.youtube.com/vi/1J3tJ2_j_Zk/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/05df9909cf98dd6546cafd196821a185/v6/_p.jpg']"
55,Embassy One,"No. 8, Bellary Road, Ganganagar, Near Hebbal, North Bangalore, Bangalore","1, 2, 3, 4, 5 BHK Apartment, Penthouses","Jun, 2019",33.00 K/sq.ft,1992.00 sq.ft. - 11212.00 sq.ft.,2.69 Acres,2 Buildings - 109 units,"Mar, 2016","Embassy One is a residential project in Hebbal, Bangalore. It is set in an area of 2.69 Acres . Embassy One offers Apartment. Available configurations include 1 BHK, 2 BHK, 3 BHK, 4 BHK, 5 BHK. Apartment, as per the area plan, are in the size range of 1992.0 - 11212.0 sq.ft.. The property is Ready to Move. There are 2 buildings for sale. The project was launched in April 2016 and possession date of Embassy One is Jun, 2019. Embassy One is located in No. 8, Bellary Road, Ganganagar, Near Hebbal. The project is developed by Embassy Group. There are 109 units for sale.Embassy One is equipped with various resident-centric amenities that includes Gymnasium. The property is equipped with Fire Sprinklers. There is Security Guards. There is provision for Semi Open Car Parking. Enjoy a class-apart lifestyle at Embassy One.Bank finance is approved by major financial institutions like LIC Housing Finance, HDFC.This project meets all mandates as required by the state authority. RERA ID of Embassy One is PRM/KA/RERA/1251/309/PR/171014/000619.Located close to prominent suburbs of Bangalore, the area of Ganganagar has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/0a701cbcd708a613a6f7b998ea579b24/v2/_p/embassy_one-hebbal-bengaluru-embassy_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/0a701cbcd708a613a6f7b998ea579b24/v2/large/embassy_one-hebbal-bengaluru-embassy_group.jpg', 'https://img.youtube.com/vi/hzybn9Ne_WM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/7970c9380e4062283963bc5a89c81022/v2/_p.jpg']"
56,Sterling Shriniket,"Mathikere, Near Sanjay Nagar, Banglore., North Bangalore, Bangalore", BHK ,Ready to Move,Price on request,On Request,,,"Jan, 1998","Sterling Developers has lauched Sterling Shriniket in Mathikere, Bangalore. The project was launched in February 1998. It offers Ready to Move units. The possession date of Sterling Shriniket is Feb, 2000. The address of Sterling Shriniket is Mathikere, Near Sanjay Nagar, Banglore..Own a home in Sterling Shriniket today!.Approved financing for property at Sterling Shriniket by major lenders like HDFC, Axis Bank, Citibank, L&T Housing Finance, PNB Housing Finance.This project has been developed by Sterling Developers.Mathikere is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/012c1500/7c6162a8672d125e9441aa6a0142b23a/v0/_p/sterling_shriniket-mathikere-bengaluru-sterling_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/7c6162a8672d125e9441aa6a0142b23a/v0/large/sterling_shriniket-mathikere-bengaluru-sterling_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/7c6162a8672d125e9441aa6a0142b23a/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/81b0904c124a91524c1a41ddfae23092/v2/_p.jpeg']"
57,DS Max Samrat,"Jalahalli, North Bangalore, Bangalore","2, 3, 4 BHK Apartments",Ready to Move,4.95 K/sq.ft,1100.00 sq.ft. - 2046.00 sq.ft.,1 Acres,2 Buildings - 75 units,"May, 2011","DS Max Samrat is one of the most luxurious residential projects being built. The creators of this project have spent a considerable amount of planning before starting off with this project as they wanted to ensure the residents a happy and modern lifestyle. The nature and its beautiful surrounding is an added bonus for those who long to be close to nature and experience a peaceful environment. Along with breathtaking views of the scenery and vast and open spaces to explore, this project offers everything that one might need or require in order to sustain a high quality lifestyle.","['https://is1-3.housingcdn.com/4f2250e8/14f51b118954a8a0261d83a6f389b432/v0/_p/ds_max_samrat-mathikere-bengaluru-ds-max_properties_private_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/14f51b118954a8a0261d83a6f389b432/v0/large/ds_max_samrat-mathikere-bengaluru-ds-max_properties_private_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/6902b45c2dfd0f19036cecf076c88299/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/1d5bcf82b1c17f664bb8a970b579a924/v0/_p.jpeg']"
